participantId,summonerId,accountId,summonerName,profileIcon,teamId,championId,matchHistoryUri,currentAccountId,currentPlatformId,highestAchievedSeasonTier,win,champLevel,spell1Id,spell2Id,combatPlayerScore,kills,deaths,assists,doubleKills,tripleKills,quadraKills,pentaKills,killingSprees,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,visionScore,sightWardsBoughtInGame,visionWardsBoughtInGame,wardsKilled,wardsPlaced,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,timeCCingOthers,totalHeal,totalTimeCrowdControlDealt,totalUnitsHealed,totalMinionsKilled,goldEarned,goldSpent,totalPlayerScore,totalScoreRank,objectivePlayerScore,turretKills,unrealKills,inhibitorKills,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,item0,item1,item2,item3,item4,item5,item6,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,platformId
1,47622386,210300686,GG Bae,3440,100,432,/v1/stats/player_history/NA1/210300686,210300686,NA1,SILVER,True,16,14,4,0,2,11,16,0,0,0,0,0,0,0,1,499,3962,1375,9175,35033,13654,24855,690,690,1357,4786,1864,8942,29557,11099,14556,58,0,2,7,20,False,False,False,False,22,6737,174,5,18,10491,9850,0,0,0,1,0,0,4,4,0,3905,3107,3092,3190,0,3117,3364,8229,1236,0,0,8226,250,94,0,8210,0,0,0,8237,630,0,0,8347,0,0,0,8345,4,0,0,8200,8300,NA1
2,47547187,210452122,333steel,3440,100,81,/v1/stats/player_history/NA1/210452122,210452122,NA1,GOLD,True,17,7,4,0,10,5,13,1,0,0,0,1,0,3,2,1090,16661,3892,10983,177829,40933,22118,3165,1414,1943,136047,28511,7657,38617,11007,12518,31,0,3,8,13,False,False,False,False,17,4717,625,2,231,17587,16925,0,0,0,1,0,1,9,5,4,3146,3040,3153,3042,3047,3025,3363,8359,825,27,0,8304,10,0,0,8321,9,0,0,8347,0,0,0,9111,1362,0,0,8014,756,0,0,8300,8000,NA1
3,60728857,222182873,Iil broomstick,982,100,50,/v1/stats/player_history/NA1/222182873,222182873,NA1,SILVER,True,18,12,4,0,7,5,14,1,0,0,0,0,648,2,2,678,6881,4002,29799,148555,28746,47445,2455,0,6324,13063,1748,18839,133036,26998,22282,37,0,2,1,11,False,False,False,False,42,20219,321,1,183,14403,13750,0,0,0,1,0,0,8,0,8,3065,3157,3027,3089,3047,1082,3340,8230,21,0,0,8226,250,742,0,8210,0,0,0,8236,48,0,0,8009,4070,103,0,8014,662,0,0,8200,8000,NA1
4,39829923,202611910,FinalIntuitions,546,100,420,/v1/stats/player_history/NA1/202611910,202611910,NA1,SILVER,True,18,12,4,0,10,6,12,1,1,0,0,2,0,4,3,866,30900,4562,46978,265913,37035,46686,20405,5299,8238,245372,31636,20863,134,99,17584,37,0,3,2,15,False,False,False,True,7,13799,153,1,265,17082,15825,0,0,0,2,0,0,13,0,8,3065,3071,3047,3053,3812,3082,3340,8010,2307,0,0,9111,3586,0,0,9103,15,0,0,8299,1298,0,0,8226,250,836,0,8233,24,10,0,8000,8200,NA1
5,47502552,210311583,Att1cus,3393,100,104,/v1/stats/player_history/NA1/210311583,210311583,NA1,GOLD,True,18,11,4,0,6,5,12,0,0,0,0,1,451,5,1,746,24742,3993,20146,236748,23574,32630,13907,1615,2186,211422,20642,14820,11419,1316,15623,54,0,2,9,13,False,False,False,False,26,13514,1122,1,62,15168,12025,0,0,0,2,0,1,156,4,121,1412,3133,3047,3071,3046,3155,3340,8021,4564,0,0,9111,1126,0,0,9104,17,30,0,8014,463,0,0,8234,19,0,0,8232,7,40,0,8000,8200,NA1
6,20146414,32989851,RobMazz,503,200,63,/v1/stats/player_history/NA/32989851,32989851,NA1,PLATINUM,False,15,14,4,0,6,4,10,0,0,0,0,1,0,4,1,897,10347,1222,10241,82535,34933,25975,6087,2825,1108,5627,580,12112,70821,31527,12754,63,0,8,9,30,False,False,False,False,43,3610,876,1,51,12129,10935,0,0,0,0,0,0,8,0,0,3092,3116,3020,3151,1052,1026,3364,8229,2280,0,0,8243,15,0,0,8233,20,30,0,8237,827,0,0,8453,751,0,0,8472,0,0,0,8200,8400,NA
7,20819575,33937211,Çarnagè,3459,200,75,/v1/stats/player_history/NA/33937211,33937211,NA1,GOLD,False,17,4,12,0,2,5,7,0,0,0,0,0,26,0,1,895,14829,6418,54204,182843,20502,39181,4522,615,2757,114155,9228,25555,64164,10658,10867,26,0,0,4,13,False,False,False,False,19,644,701,1,212,13244,13350,0,0,0,2,0,0,8,0,1,3748,3047,2060,3025,3065,3075,3340,8359,285,16,0,8304,9,3,0,8345,4,0,0,8347,0,0,0,8473,1068,0,0,8444,1838,0,0,8300,8400,NA
8,77291313,233948837,djoahf,1595,200,245,/v1/stats/player_history/NA1/233948837,233948837,NA1,GOLD,False,18,14,4,0,11,7,9,1,0,0,0,1,0,4,2,741,4961,1756,38062,202258,39767,47198,8851,2583,2301,23301,4131,31250,170104,33053,13647,26,0,0,1,12,False,False,False,False,26,18044,416,1,234,16118,14835,0,0,0,0,0,0,16,4,12,3152,3157,1026,3020,3100,3165,3340,8112,3681,0,0,8143,1871,0,0,8138,30,0,0,8135,5,0,0,8243,15,0,0,8234,20,0,0,8100,8200,NA1
9,49529948,212395253,Foreskin Ninja,907,200,2,/v1/stats/player_history/NA1/212395253,212395253,NA1,PLATINUM,False,16,6,11,0,4,10,8,0,0,0,0,1,4,3,1,746,26737,1649,40633,164079,16357,49456,24151,6873,1793,113675,8791,37633,26251,691,10029,35,0,1,4,13,False,True,False,False,14,11781,575,1,51,11971,11675,0,0,0,2,0,0,119,6,82,1413,3074,1028,3111,3065,3076,3340,8010,662,0,0,9111,1060,0,0,9104,14,50,0,8014,143,0,0,8453,1105,0,0,8472,0,0,0,8000,8400,NA1
10,39531751,202406402,JediMasterMarco,1113,200,29,/v1/stats/player_history/NA1/202406402,202406402,NA1,PLATINUM,False,16,7,4,0,9,9,5,1,0,0,0,1,894,3,2,981,15263,2045,13732,174054,25563,22960,17366,4489,1059,156687,21073,14019,0,0,7882,27,0,0,4,10,False,False,False,False,21,1015,755,2,224,14189,14100,0,0,0,0,0,0,20,0,12,3033,3072,3031,3006,0,3085,3363,8008,2,30,0,9101,1609,2285,0,9104,17,20,0,8014,374,0,0,8236,28,0,0,8233,23,20,0,8000,8200,NA1
